campaign_id,campaign_name,channel,audience,date,spend,impressions,clicks,conversions,revenue,engagements,ctr,cpc,conversion_rate,roas,trend_alignment
camp_001,TikTok Gen Z Trendsetters Campaign 1,TikTok,Gen Z Trendsetters,2026-08-02,2497.42,157039,10521,1030,6917.85,7011,0.067,0.24,0.0979,2.77,91
camp_002,X Decision Makers Campaign 2,X,Decision Makers,2026-08-03,3766.24,197528,3832,524,6854.56,21055,0.0194,0.98,0.1368,1.82,60
camp_003,LinkedIn Content Creators Campaign 3,LinkedIn,Content Creators,2026-08-04,1418.22,42385,1627,146,2481.89,3770,0.0384,0.87,0.0901,1.75,56
camp_004,YouTube Eco-Conscious Buyers Campaign 4,YouTube,Eco-Conscious Buyers,2026-08-05,2036.01,76866,3735,438,4682.82,4302,0.0486,0.55,0.1174,2.3,74
camp_005,Instagram Growth Hackers Campaign 5,Instagram,Growth Hackers,2026-08-06,3717.52,89210,5236,276,9256.62,8451,0.0587,0.71,0.0529,2.49,71
camp_006,TikTok Tech Enthusiasts Campaign 6,TikTok,Tech Enthusiasts,2026-08-07,1083.41,46903,952,124,1971.81,2847,0.0203,1.14,0.1305,1.82,81
camp_007,X Gen Z Trendsetters Campaign 7,X,Gen Z Trendsetters,2026-08-08,2145.58,95184,5197,282,6029.08,4481,0.0546,0.41,0.0544,2.81,59
camp_008,LinkedIn Decision Makers Campaign 8,LinkedIn,Decision Makers,2026-08-09,653.27,23510,1034,65,1587.45,2499,0.044,0.63,0.0635,2.43,67
camp_009,YouTube Content Creators Campaign 9,YouTube,Content Creators,2026-08-10,1973.23,89458,2451,292,3630.74,3617,0.0274,0.81,0.1192,1.84,89
camp_010,Instagram Eco-Conscious Buyers Campaign 10,Instagram,Eco-Conscious Buyers,2026-08-11,4358.4,232508,16205,693,13423.87,15968,0.0697,0.27,0.0428,3.08,55
camp_011,TikTok Growth Hackers Campaign 11,TikTok,Growth Hackers,2026-08-12,5233.38,255398,10266,428,10309.76,25123,0.0402,0.51,0.0417,1.97,80
